Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 25, 2025, 9:46:57 AM",Kudos,Activity,14900425787
"Sep 3, 2025, 8:02:21 PM",Kudos,Activity,15650120303
"Sep 26, 2025, 3:14:25 AM",Kudos,Activity,15914807515
"Nov 2, 2025, 4:26:59 PM",Kudos,Activity,16333246084
